ora2pg  | INFO: CONFIG_LOCATION variable detected: 'config/ora2pg.conf'
ora2pg  | INFO: No OUTPUT_LOCATION variable provided. Using default '/data'
ora2pg  | INFO: No ORA_HOST variable provided. Using value of 'ORACLE_DSN' from 'config/ora2pg.conf'
ora2pg  | INFO: No ORA_USER variable provided. Using value of 'ORACLE_USER' from  'config/ora2pg.conf'
ora2pg  | INFO: No ORA_PWD variable provided. Using value of 'ORACLE_PWD' from  'config/ora2pg.conf'
ora2pg  | INFO: executing: 'ora2pg --debug -p -t TRIGGER -o trigger.sql -b /project/schema/triggers -c /config/ora2pg.conf'
ora2pg  | [2022-07-08 10:30:05] Ora2Pg version: 23.1
ora2pg  | [2022-07-08 10:30:05] Export type: TRIGGER
ora2pg  | [2022-07-08 10:30:05] Geometry export type: INTERNAL
ora2pg  | [2022-07-08 10:30:05] ORACLE_HOME = /usr/local/oracle/10g
ora2pg  | [2022-07-08 10:30:05] NLS_LANG = AMERICAN_AMERICA.AL32UTF8
ora2pg  | [2022-07-08 10:30:05] NLS_NCHAR = AL32UTF8
ora2pg  | [2022-07-08 10:30:05] Trying to connect to database: dbi:Oracle:host=srv-dbora-03.whebdc.com.br;service_name=DEV_1815;port=1521
ora2pg  | [2022-07-08 10:30:05] Isolation level: SET TRANSACTION ISOLATION LEVEL SERIALIZABLE
ora2pg  | [2022-07-08 10:30:05] Looking forward functions declaration in schema COMERCIAL.
ora2pg  | [2022-07-08 10:51:28] Looking at package address_pck...
ora2pg  | [2022-07-08 10:51:28] Looking at package adds_pck...
ora2pg  | [2022-07-08 10:51:28] Looking at package adep_dados_horarios_pck...
ora2pg  | [2022-07-08 10:51:28] Looking at package ADEP_GERAR_HORARIOS_PCK...
ora2pg  | [2022-07-08 10:51:31] Looking at package ADEP_ONC_Gerar_Horarios_PCK...
ora2pg  | [2022-07-08 10:51:31] Looking at package ageint_cons_quimio_vinc...
ora2pg  | [2022-07-08 10:51:33] Looking at package ageint_prof_grupos...
ora2pg  | [2022-07-08 10:51:33] Looking at package AGEINT_RET_ITEM_FONETICA_PCK...
ora2pg  | [2022-07-08 10:51:34] Looking at package ageint_sugerir_horarios_pck...
ora2pg  | [2022-07-08 10:51:34] Looking at package ageint_sugerir_html5_pck...
ora2pg  | [2022-07-08 10:51:34] Looking at package agendamento_paciente_pck...
ora2pg  | [2022-07-08 10:51:35] Looking at package agente_anest_pck...
ora2pg  | [2022-07-08 10:51:35] Looking at package AGGREGATION_PROC_MANAGEM_PCK...
ora2pg  | [2022-07-08 10:51:36] Looking at package ajusta_relatorio_swing_pck...
ora2pg  | [2022-07-08 10:51:37] Looking at package alto_custo_artrite_pck...
ora2pg  | [2022-07-08 10:51:37] Looking at package alto_custo_cancer_pck...
ora2pg  | [2022-07-08 10:51:37] Looking at package alto_custo_erc_pck...
ora2pg  | [2022-07-08 10:51:37] Looking at package alto_custo_hemofilia_pck...
ora2pg  | [2022-07-08 10:51:37] Looking at package alto_custo_hepatite_pck...
ora2pg  | [2022-07-08 10:51:37] Looking at package alto_custo_hiv_pck...
ora2pg  | [2022-07-08 10:51:37] Looking at package alto_custo_pck...
ora2pg  | [2022-07-08 10:51:37] Looking at package alto_custo_simplificado_pck...
ora2pg  | [2022-07-08 10:51:38] Looking at package anmat_controle_mat_pck...
ora2pg  | [2022-07-08 10:51:38] Looking at package anzics_pck...
ora2pg  | [2022-07-08 10:51:38] Looking at package APACHE_UPDATE_MD_PCK...
ora2pg  | [2022-07-08 10:51:38] Looking at package apap_dinamico_pck...
ora2pg  | [2022-07-08 10:51:38] Looking at package APAP_HISTORY_PCK...
ora2pg  | [2022-07-08 10:51:38] Looking at package APAP_HOUDINI_PCK...
ora2pg  | [2022-07-08 10:51:38] Looking at package apap_limite_pck...
ora2pg  | [2022-07-08 10:51:38] Looking at package apap_pck...
ora2pg  | [2022-07-08 10:51:38] Looking at package apap_pending_itens_pck...
ora2pg  | [2022-07-08 10:51:45] Looking at package atualiza_versao_pck...
ora2pg  | [2022-07-08 10:51:45] Looking at package audc_auditoria_concorrente_pck...
ora2pg  | [2022-07-08 10:51:45] Looking at package audio_video_pck...
ora2pg  | [2022-07-08 10:51:48] Looking at package bed_request_gantt_pck...
ora2pg  | [2022-07-08 10:51:48] Looking at package bft_file_pck...
ora2pg  | [2022-07-08 10:51:48] Looking at package bft_global_price_pck...
ora2pg  | [2022-07-08 10:51:48] Looking at package bifrost...
ora2pg  | [2022-07-08 10:51:48] Looking at package bifrost_ICCA...
ora2pg  | [2022-07-08 10:51:48] Looking at package bifrost_log...
ora2pg  | [2022-07-08 10:51:48] Looking at package billing_germany_pck...
ora2pg  | [2022-07-08 10:51:48] Looking at package billing_i18n_pck...
ora2pg  | [2022-07-08 10:51:50] Looking at package CALCULATED_DOSE_PCK...
ora2pg  | [2022-07-08 10:51:50] Looking at package Calcula_regra_tx_pck...
ora2pg  | [2022-07-08 10:51:51] Looking at package cancelar_por_periodo...
ora2pg  | [2022-07-08 10:51:51] Looking at package carestream_japan_l10n_pck...
ora2pg  | [2022-07-08 10:51:51] Looking at package carestream_phys_japan_l10n_pck...
ora2pg  | [2022-07-08 10:51:51] Looking at package carestream_ris_japan_l10n_pck...
ora2pg  | [2022-07-08 10:51:51] Looking at package care_plan_view_pck...
ora2pg  | [2022-07-08 10:51:52] Looking at package CF_RELATIVES_PCK...
ora2pg  | [2022-07-08 10:51:52] Looking at package chart_tubes_lines_pck...
ora2pg  | [2022-07-08 10:51:52] Looking at package CLEANUPDB_PCK...
ora2pg  | [2022-07-08 10:51:52] Looking at package CLINICAL_NOTES_PCK...
ora2pg  | [2022-07-08 10:51:53] Looking at package clinical_packway_preview_pck...
ora2pg  | [2022-07-08 10:51:53] Looking at package CLINICAL_PANORAMA_MD_PCK...
ora2pg  | [2022-07-08 10:51:53] Looking at package clinical_pathway_preview_pck...
ora2pg  | [2022-07-08 10:51:53] Looking at package CLIPBOARD_UTIL_PKG...
ora2pg  | [2022-07-08 10:51:54] Looking at package COL_GERAR_ARQUIVO_RIPS...
ora2pg  | [2022-07-08 10:51:54] Looking at package componente_pck...
ora2pg  | [2022-07-08 10:51:54] Looking at package compras_pck...
ora2pg  | [2022-07-08 10:51:54] Looking at package comunic_interna_pck...
ora2pg  | [2022-07-08 10:51:54] Looking at package conciliar_integracao_ret_pck...
ora2pg  | [2022-07-08 10:51:54] Looking at package conciliar_integr_resp_rec_pck...
ora2pg  | [2022-07-08 10:51:55] Looking at package conciliar_integr_resp_rec_pck2...
ora2pg  | [2022-07-08 10:51:55] Looking at package configura_psa_tws_pack...
ora2pg  | [2022-07-08 10:51:55] Looking at package configure_psa_tws_pack...
ora2pg  | [2022-07-08 10:51:55] Looking at package consentimento_privacidade_pck...
ora2pg  | [2022-07-08 10:52:03] Looking at package controle_mipres_pck...
ora2pg  | [2022-07-08 10:52:03] Looking at package CONVERSAO_CHAVE_301_PCK...
ora2pg  | [2022-07-08 10:52:03] Looking at package converte_pck...
ora2pg  | [2022-07-08 10:52:03] Looking at package CONVERT_SCHEMATIC_TO_BO_PCK...
ora2pg  | [2022-07-08 10:52:06] Looking at package copy_clipboard_pkg...
ora2pg  | [2022-07-08 10:52:06] Looking at package coverage_indicator_pck...
ora2pg  | [2022-07-08 10:52:06] Looking at package CPOE_CALC_VALORES_SOL_MD_PCK...
ora2pg  | [2022-07-08 10:52:06] Looking at package cpoe_cont_period_chk_pck...
ora2pg  | [2022-07-08 10:52:06] Looking at package cpoe_dial_order_json_pck...
ora2pg  | [2022-07-08 10:52:06] Looking at package cpoe_diet_json_pck...
ora2pg  | [2022-07-08 10:52:07] Looking at package cpoe_gas_order_json_pck...
ora2pg  | [2022-07-08 10:52:08] Looking at package CPOE_Gerar_Registro_Json_PCK...
ora2pg  | [2022-07-08 10:52:08] Looking at package cpoe_hemo_order_json_pck...
ora2pg  | [2022-07-08 10:52:09] Looking at package cpoe_listagg_pck...
ora2pg  | [2022-07-08 10:52:09] Looking at package cpoe_mat_json_pck...
