ora2pg2  | INFO: CONFIG_LOCATION variable detected: 'config/ora2pg.conf'
ora2pg2  | INFO: No OUTPUT_LOCATION variable provided. Using default '/data'
ora2pg2  | INFO: No ORA_HOST variable provided. Using value of 'ORACLE_DSN' from 'config/ora2pg.conf'
ora2pg2  | INFO: No ORA_USER variable provided. Using value of 'ORACLE_USER' from  'config/ora2pg.conf'
ora2pg2  | INFO: No ORA_PWD variable provided. Using value of 'ORACLE_PWD' from  'config/ora2pg.conf'
ora2pg2  | INFO: executing: 'ora2pg -t PACKAGE -o package.sql -b /project/sources/packages -c /config/ora2pg.conf'
ora2pg2  | [2022-07-11 02:28:31] Ora2Pg version: 23.1
ora2pg2  | [2022-07-11 02:28:31] Export type: PACKAGE
ora2pg2  | [2022-07-11 02:28:31] Geometry export type: INTERNAL
ora2pg2  | [2022-07-11 02:28:31] ORACLE_HOME = /usr/local/oracle/10g
ora2pg2  | [2022-07-11 02:28:31] NLS_LANG = AMERICAN_AMERICA.AL32UTF8
ora2pg2  | [2022-07-11 02:28:31] NLS_NCHAR = AL32UTF8
ora2pg2  | [2022-07-11 02:28:31] Trying to connect to database: dbi:Oracle:host=srv-dbora-03.whebdc.com.br;service_name=DEV_1815;port=1521
ora2pg2  | [2022-07-11 02:28:31] Isolation level: SET TRANSACTION ISOLATION LEVEL SERIALIZABLE
ora2pg2  | [2022-07-11 02:28:31] Looking forward functions declaration in schema COMERCIAL.
ora2pg2  | [2022-07-11 02:50:24] Looking at package address_pck...
ora2pg2  | [2022-07-11 02:50:24] Looking at package adds_pck...
ora2pg2  | [2022-07-11 02:50:25] Looking at package adep_dados_horarios_pck...
ora2pg2  | [2022-07-11 02:50:25] Looking at package ADEP_GERAR_HORARIOS_PCK...
ora2pg2  | [2022-07-11 02:50:27] Looking at package ADEP_ONC_Gerar_Horarios_PCK...
ora2pg2  | [2022-07-11 02:50:28] Looking at package ageint_cons_quimio_vinc...
ora2pg2  | [2022-07-11 02:50:30] Looking at package ageint_prof_grupos...
ora2pg2  | [2022-07-11 02:50:30] Looking at package AGEINT_RET_ITEM_FONETICA_PCK...
ora2pg2  | [2022-07-11 02:50:31] Looking at package ageint_sugerir_horarios_pck...
ora2pg2  | [2022-07-11 02:50:31] Looking at package ageint_sugerir_html5_pck...
ora2pg2  | [2022-07-11 02:50:31] Looking at package agendamento_paciente_pck...
ora2pg2  | [2022-07-11 02:50:32] Looking at package agente_anest_pck...
ora2pg2  | [2022-07-11 02:50:32] Looking at package AGGREGATION_PROC_MANAGEM_PCK...
ora2pg2  | [2022-07-11 02:50:33] Looking at package ajusta_relatorio_swing_pck...
ora2pg2  | [2022-07-11 02:50:34] Looking at package alto_custo_artrite_pck...
ora2pg2  | [2022-07-11 02:50:34] Looking at package alto_custo_cancer_pck...
ora2pg2  | [2022-07-11 02:50:34] Looking at package alto_custo_erc_pck...
ora2pg2  | [2022-07-11 02:50:34] Looking at package alto_custo_hemofilia_pck...
ora2pg2  | [2022-07-11 02:50:34] Looking at package alto_custo_hepatite_pck...
ora2pg2  | [2022-07-11 02:50:34] Looking at package alto_custo_hiv_pck...
ora2pg2  | [2022-07-11 02:50:34] Looking at package alto_custo_pck...
ora2pg2  | [2022-07-11 02:50:34] Looking at package alto_custo_simplificado_pck...
ora2pg2  | [2022-07-11 02:50:34] Looking at package anmat_controle_mat_pck...
ora2pg2  | [2022-07-11 02:50:34] Looking at package anzics_pck...
ora2pg2  | [2022-07-11 02:50:35] Looking at package APACHE_UPDATE_MD_PCK...
ora2pg2  | [2022-07-11 02:50:35] Looking at package apap_dinamico_pck...
ora2pg2  | [2022-07-11 02:50:35] Looking at package APAP_HISTORY_PCK...
ora2pg2  | [2022-07-11 02:50:35] Looking at package APAP_HOUDINI_PCK...
