[2022-07-08 01:19:08] Ora2Pg version: 23.1
[2022-07-08 01:19:08] Export type: SHOW_TABLE
[2022-07-08 01:19:08] Geometry export type: INTERNAL
[2022-07-08 01:19:08] ORACLE_HOME = /usr/local/oracle/10g
[2022-07-08 01:19:08] NLS_LANG = AMERICAN_AMERICA.AL32UTF8
[2022-07-08 01:19:08] NLS_NCHAR = AL32UTF8
[2022-07-08 01:19:08] Trying to connect to database: dbi:Oracle:host=srv-dbora-03.whebdc.com.br;service_name=DEV_1810;port=1521
[2022-07-08 01:19:09] Isolation level: SET TRANSACTION ISOLATION LEVEL SERIALIZABLE
[2022-07-08 01:19:09] Showing table information...
[2022-07-08 01:20:16] Collecting 26408 tables in DBA_OBJECTS took: 67 wallclock secs ( 0.08 usr +  0.02 sys =  0.10 CPU)
[2022-07-08 01:21:41] Collecting 22920 tables information in DBA_TABLES took: 85 wallclock secs ( 0.21 usr +  0.02 sys =  0.23 CPU)
[2022-07-08 01:21:41] Retrieving column identity information...
[2022-07-08 01:22:26] Looking to subpartition information...
[2022-07-08 01:22:35] Looking to partitioned tables information...
[2022-07-08 01:22:40] Looking to external tables information...
[2022-07-08 01:22:40] [1] TABLE COMERCIAL.AAZF_MED (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [2] TABLE COMERCIAL.ABDAMED_FIELD (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [3] TABLE COMERCIAL.ABDAMED_IMPORT (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [4] TABLE COMERCIAL.ABDAMED_IMPORT_LOG (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [5] TABLE COMERCIAL.ABDAMED_IMP_REG_VALOR (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [6] TABLE COMERCIAL.ABRANGENCIA_PLANO (owner: COMERCIAL, 4 rows)
[2022-07-08 01:22:40] [7] TABLE COMERCIAL.ABRANGENCIA_PLANO_ATUACAO (owner: COMERCIAL, 16 rows)
[2022-07-08 01:22:40] [8] TABLE COMERCIAL.ABREVIATURA_SCHEMATIC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [9] TABLE COMERCIAL.ACAO_CENTRAL_EXAMES (owner: COMERCIAL, 5 rows)
[2022-07-08 01:22:40] [10] TABLE COMERCIAL.ACAO_CENTRAL_STATUS (owner: COMERCIAL, 8 rows)
[2022-07-08 01:22:40] [11] TABLE COMERCIAL.ACAO_ESTAGIO_ENTREGA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [12] TABLE COMERCIAL.ACAO_MATGLOBAL (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [13] TABLE COMERCIAL.ACAO_REGRA_TEMPLATE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [14] TABLE COMERCIAL.ACCESSORY_PAC_VALUE_ATTRIB (owner: COMERCIAL, 4 rows)
[2022-07-08 01:22:40] [15] TABLE COMERCIAL.ACCESS_ITEM (owner: COMERCIAL, 7 rows)
[2022-07-08 01:22:40] [16] TABLE COMERCIAL.ACCESS_REASON (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [17] TABLE COMERCIAL.ACCESS_TOKEN (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [18] TABLE COMERCIAL.ACCOMODATION_DETAILS_HC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [19] TABLE COMERCIAL.ACCOUNTING_FILES (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [20] TABLE COMERCIAL.ACCOUNTING_FILES_CONTAB (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [21] TABLE COMERCIAL.ACC_RULE_GROUP (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [22] TABLE COMERCIAL.ACC_RULE_STRUCTURE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [23] TABLE COMERCIAL.ACESSORIO_CARACTERISTICA (owner: COMERCIAL, 6 rows)
[2022-07-08 01:22:40] [24] TABLE COMERCIAL.ACESSORIO_LOCALIZACAO (owner: COMERCIAL, 5 rows)
[2022-07-08 01:22:40] [25] TABLE COMERCIAL.ACESSORIO_PACIENTE (owner: COMERCIAL, 6 rows)
[2022-07-08 01:22:40] [26] TABLE COMERCIAL.ACESSORIO_PAC_PROCED (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [27] TABLE COMERCIAL.ACESSO_BASE_LOG (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [28] TABLE COMERCIAL.ACESSO_PATIENT_BAR (owner: COMERCIAL, 544 rows)
[2022-07-08 01:22:40] [29] TABLE COMERCIAL.ACHADO_PERDIDO_STATUS_HIST (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [30] TABLE COMERCIAL.ACIR_REQUEST_CLAIM (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [31] TABLE COMERCIAL.ACIR_REQUEST_EVENT (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [32] TABLE COMERCIAL.ACOMPANHANTE_PACIENTE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [33] TABLE COMERCIAL.ACOMPANHANTE_VISITA_LIB (owner: COMERCIAL, 2 rows)
[2022-07-08 01:22:40] [34] TABLE COMERCIAL.ACTIVECOMPOSITION (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [35] TABLE COMERCIAL.ACUIDADE_PANORAMA_CLINICO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [36] TABLE COMERCIAL.ADA_MED (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [37] TABLE COMERCIAL.ADDS_INSTRUCAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [38] TABLE COMERCIAL.ADDS_MODELO (owner: COMERCIAL, 2 rows)
[2022-07-08 01:22:40] [39] TABLE COMERCIAL.ADDS_REGRA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [40] TABLE COMERCIAL.ADDS_SV (owner: COMERCIAL, 6 rows)
[2022-07-08 01:22:40] [41] TABLE COMERCIAL.ADDS_SV_ITEM (owner: COMERCIAL, 34 rows)
[2022-07-08 01:22:40] [42] TABLE COMERCIAL.ADDS_TIMELINE_SETTINGS (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [43] TABLE COMERCIAL.ADEP_ADM_ALTA_PAC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [44] TABLE COMERCIAL.ADEP_ADM_ITEM_PDA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [45] TABLE COMERCIAL.ADEP_APRAZAMENTO_PERFIL (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:40] [46] TABLE COMERCIAL.ADEP_AREA_HORARIO_ATEND (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:40] [47] TABLE COMERCIAL.ADEP_AREA_PREP (owner: COMERCIAL, 10 rows)
[2022-07-08 01:22:40] [48] TABLE COMERCIAL.ADEP_AREA_PREP_FAV (owner: COMERCIAL, 0 rows)
